"channel_name","total_conversions","total_conversion_value"
"1",82.254926856305,82.254926856305
"20",432.572213061107,432.572213061107
"12",84.099608288636,84.099608288636
"14",63.6541442197515,63.6541442197515
"13",195.436328723076,195.436328723076
"3",123.186403900997,123.186403900997
"17",83.945052310075,83.945052310075
"6",63.3838181735991,63.3838181735991
"8",61.5356107493617,61.5356107493617
"10",209.100135025443,209.100135025443
"11",118.467451399685,118.467451399685
"16",158.442796972443,158.442796972443
"2",97.2021942125776,97.2021942125776
"4",223.151212772188,223.151212772188
"7",41.8594005813759,41.8594005813759
"5",81.9798994876109,81.9798994876109
"9",179.518238261926,179.518238261926
"15",70.7378619595789,70.7378619595789
"18",5.97185495869637,5.97185495869637
"19",15.5008480855672,15.5008480855672
