Path,Conversion
1 > 6 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
1 > 6 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,4
1 > 7 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 8 > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
1 > 8 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
1 > 8 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
1 > 8 > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 9 > . > . > . > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > ,1
1 > 9 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
1 > 9 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
1 > 9 > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,3
10 > 1 > . > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > ,1
10 > 1 > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
10 > 1 > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
10 > 1 > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,4
10 > 1 > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
10 > 1 > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,3
10 > 1 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,3
10 > 1 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,4
